,furniture_type,name,discounted_price,original_price,product_details
0,Chair,Flipkart Perfect Homes Fabric Office Arm Chair,"₹3,136","₹6,500","[<li class=""_21Ahn-"">Adjustable Seat Height, Armrest, Locking Mechanism, Recline, Swivel, Wheels</li>, <li class=""_21Ahn-"">W x H: 22 cm x 36 cm (8 in x 1 ft 2 in)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
1,Chair,APEX CHAIRS DELTA Fabric Office Executive Chair,"₹2,870","₹6,750","[<li class=""_21Ahn-"">Head Support, Wheels, Seat Lock, Locking Mechanism, Swivel, Armrest, Adjustable Seat Height</li>, <li class=""_21Ahn-"">W x H: 48 cm x 88 cm (1 ft 6 in x 2 ft 10 in)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
2,Chair,"GREEN SOUL Jupiter Superb High Back Ergonomic|Home, Off...","₹8,630","₹18,890","[<li class=""_21Ahn-"">Adjustable Seat Height, Head Support, Seat Lock, Wheels, Swivel, Armrest, Locking Mechanism</li>, <li class=""_21Ahn-"">W x H: 65 cm x 125 cm (2 ft 1 in x 4 ft 1 in)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
3,Chair,Allie Wood Sheesham Solid Wood Dining Chair,"₹4,589","₹11,599","[<li class=""_21Ahn-"">Material: Solid Wood</li>, <li class=""_21Ahn-"">Number of Chairs: 2</li>, <li class=""_21Ahn-"">W x H x D: 457.2 mm x 914.4 mm x 457.2 mm (1 ft 6 in x 3 ft x 1 ft 6 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
4,Chair,CELLBELL Desire C104 Mid Back Comfortable Fabric Office...,"₹3,799","₹9,999","[<li class=""_21Ahn-"">Wheels, Armrest, Adjustable Seat Height, Swivel</li>, <li class=""_21Ahn-"">W x H: 46 cm x 89 cm (1 ft 6 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Frame Material: Engineered Wood</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
5,Chair,JIGSHTIAL Plastic Toilet Foot Supporter Stool for Weste...,₹335,₹975,"[<li class=""_21Ahn-"">Squatty Stool/ Foot Support For Western Toilet</li>, <li class=""_21Ahn-"">Made of Plastic</li>, <li class=""_21Ahn-"">Portable</li>, <li class=""_21Ahn-"">Width x Height: 16.5 inch x 8.25 inch (1 ft 4 in x 8 in)</li>, <li class=""_21Ahn-"">Load Capacity: 60 kg</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
6,Chair,"GREEN SOUL Seoul-X Mid Back Ergonomic|Home, Office, WFH...","₹3,880","₹5,980","[<li class=""_21Ahn-"">Adjustable Seat Height, Wheels, Armrest, Swivel</li>, <li class=""_21Ahn-"">W x H: 59.5 cm x 92.5 cm (1 ft 11 in x 3 ft)</li>, <li class=""_21Ahn-"">Frame Material: Plastic</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
7,Chair,Allie Wood Sheesham Solid Wood Dining Chair,"₹4,589","₹11,999","[<li class=""_21Ahn-"">Material: Solid Wood</li>, <li class=""_21Ahn-"">Number of Chairs: 2</li>, <li class=""_21Ahn-"">W x H x D: 457.2 mm x 863.6 mm x 457.2 mm (1 ft 6 in x 2 ft 10 in x 1 ft 6 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
8,Chair,SAVYA HOME DELTA Fabric Office Executive Chair,"₹3,322","₹5,500","[<li class=""_21Ahn-"">Adjustable Seat Height</li>, <li class=""_21Ahn-"">W x H: 58 cm x 100 cm (1 ft 10 in x 3 ft 3 in)</li>, <li class=""_21Ahn-"">Frame Material: Plastic</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
9,Chair,GREEN SOUL Vienna High Back Ergonomic|Home & Office use...,"₹7,590","₹16,725","[<li class=""_21Ahn-"">Wheels, Swivel, Armrest, Adjustable Seat Height</li>, <li class=""_21Ahn-"">W x H: 62 cm x 110 cm (2 ft x 3 ft 7 in)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
