,furniture_type,name,discounted_price,original_price,product_details
0,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹729,₹799,"[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 42 cm x 80 cm x 22 cm (1 ft 4 in x 2 ft 7 in x 8 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
1,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹569,"₹1,089","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">W x H x D: 57 cm x 65 cm x 30 cm (1 ft 10 in x 2 ft 1 in x 11 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
2,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹551,"₹1,998","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">Number of Drawers: 4</li>, <li class=""_21Ahn-"">W x H x D: 320 mm x 830 mm x 120 mm (1 ft x 2 ft 8 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
3,Kitchen Cabinet,Crystal Furnitech Claus Engineered Wood Kitchen Cabinet,"₹2,420","₹3,000","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 69.8 cm x 36.5 cm x 15.7 cm (2 ft 3 in x 1 ft 2 in x 6 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
4,Kitchen Cabinet,JVS Disha-Steel Plate Rack (DISHA 157) Metal Kitchen Ca...,₹259,"₹1,125","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">W x H x D: 29 mm x 25 mm x 29 mm (1 in x 1 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
5,Kitchen Cabinet,Xtenshion Crafts Engineered Wood Kitchen Cabinet,₹806,"₹1,530","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 660 mm x 660 mm x 125 mm (2 ft 1 in x 2 ft 1 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
6,Kitchen Cabinet,Flipkart Perfect Homes Engineered Wood Kitchen Cabinet,"₹10,990","₹17,999","[<li class=""_21Ahn-"">Suitable For: Storage, Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 12</li>, <li class=""_21Ahn-"">Number of Drawers: 1</li>, <li class=""_21Ahn-"">W x H x D: 800.1 mm x 2005.8 mm x 389.8 mm (2 ft 7 in x 6 ft 6 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
7,Kitchen Cabinet,Crystal Furnitech Eadric Engineered Wood Kitchen Cabine...,"₹11,390","₹14,846","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 7</li>, <li class=""_21Ahn-"">W x H x D: 1200 mm x 1380 mm x 400 mm (3 ft 11 in x 4 ft 6 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
8,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹609,"₹1,599","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">W x H x D: 39.87 cm x 106.42 cm x 21.84 cm (1 ft 3 in x 3 ft 5 in x 8 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
9,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹628,"₹2,199","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">Number of Drawers: 5</li>, <li class=""_21Ahn-"">W x H x D: 320 mm x 1320 mm x 540 mm (1 ft x 4 ft 3 in x 1 ft 9 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
10,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹381,"₹1,199","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">Number of Drawers: 2</li>, <li class=""_21Ahn-"">W x H x D: 320 mm x 410 mm x 120 mm (1 ft x 1 ft 4 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
11,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹2,159","₹3,699","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture, Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">W x H x D: 570 mm x 1570 mm x 350 mm (1 ft 10 in x 5 ft 1 in x 1 ft 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
12,Kitchen Cabinet,Patelraj Wall Mounted Kitchen Stand 24*30 inch Metal Ki...,"₹1,614","₹3,999","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 60.96 mm x 76.2 mm x 25.4 mm (2 in x 3 in x 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
13,Kitchen Cabinet,Home Full Engineered Wood Crockery Cabinet,"₹5,939","₹15,800","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">Number of Drawers: 1</li>, <li class=""_21Ahn-"">W x H x D: 750 mm x 775 mm x 370 mm (2 ft 5 in x 2 ft 6 in x 1 ft 2 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
14,Kitchen Cabinet,XBEY 8 Pcs ABS Plastic Multipurpose Kitchen Bathroom Wa...,₹370,₹999,"[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 8</li>, <li class=""_21Ahn-"">Number of Drawers: 8</li>, <li class=""_21Ahn-"">W x H x D: 16 mm x 4 mm x 14 mm</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
15,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹1,799","₹2,599","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture, Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 56 mm x 120 mm x 35 mm (2 in x 4 in x 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
16,Kitchen Cabinet,HEYMAK 4 PC Multipurpose Wall Holder Bathroom Storage R...,₹334,₹599,"[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">Number of Drawers: 4</li>, <li class=""_21Ahn-"">W x H x D: 16 mm x 4 mm x 14 mm</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
17,Kitchen Cabinet,Ebee Engineered Wood Kitchen Cabinet,"₹1,061","₹2,199","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 76 cm x 12.5 cm x 125 mm (2 ft 5 in x 4 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
18,Kitchen Cabinet,MFS Craft World 11 spice rack Metal Kitchen Cabinet,₹449,"₹1,200","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">Number of Drawers: 2</li>, <li class=""_21Ahn-"">W x H x D: 120 mm x 120 mm x 118 mm (4 in x 4 in x 4 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
19,Kitchen Cabinet,Old Wolf Furniture Engineered Wood Kitchen Cabinet,"₹7,499","₹14,999","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">W x H x D: 400 mm x 1830 mm x 390 mm (1 ft 3 in x 6 ft x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
20,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹799,"₹1,089","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">W x H x D: 57 cm x 65 cm x 30 cm (1 ft 10 in x 2 ft 1 in x 11 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
21,Kitchen Cabinet,Ebee Metal Kitchen Cabinet,₹699,₹999,"[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">W x H x D: 570 mm x 480 mm x 300 mm (1 ft 10 in x 1 ft 6 in x 11 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
22,Kitchen Cabinet,Woodbuzz Engineered Wood Crockery Cabinet,"₹14,999","₹29,500","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 10</li>, <li class=""_21Ahn-"">Number of Drawers: 1</li>, <li class=""_21Ahn-"">W x H x D: 800 mm x 1900 mm x 400 mm (2 ft 7 in x 6 ft 2 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
23,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹1,529","₹2,999","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">W x H x D: 560 mm x 820 mm x 350 mm (1 ft 10 in x 2 ft 8 in x 1 ft 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
24,Kitchen Cabinet,Mirramor 3 PC Plastic Home Bathroom Kitchen Cabinet Acc...,₹246,₹999,"[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">Number of Drawers: 3</li>, <li class=""_21Ahn-"">W x H x D: 100 mm x 68 mm x 68 mm (3 in x 2 in x 2 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
25,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹489,"₹1,499","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">Number of Drawers: 3</li>, <li class=""_21Ahn-"">W x H x D: 320 mm x 630 mm x 120 mm (1 ft x 2 ft x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
26,Kitchen Cabinet,CMerchants Kitchen Cabinet Kitchen Rack 4 Layer Metal K...,₹593,"₹1,099","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 560 mm x 840 mm x 320 mm (1 ft 10 in x 2 ft 9 in x 1 ft)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
27,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹2,159","₹2,999","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture, Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">W x H x D: 57 mm x 157 mm x 35 mm (2 in x 6 in x 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
28,Kitchen Cabinet,KPT Kitchen Steel Cabinet For Multipurpose Use Metal Ki...,₹439,₹800,"[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">W x H x D: 10 mm x 10 mm x 10 mm</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
29,Kitchen Cabinet,Home Full Engineered Wood Kitchen Cabinet,"₹5,751","₹10,500","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">Number of Drawers: 2</li>, <li class=""_21Ahn-"">W x H x D: 600 mm x 1120 mm x 350 mm (1 ft 11 in x 3 ft 8 in x 1 ft 1 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
30,Kitchen Cabinet,KRONIC Pack of 6 Multiperurpose Bathroom Soap Shower St...,₹380,₹899,"[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 6</li>, <li class=""_21Ahn-"">Number of Drawers: 6</li>, <li class=""_21Ahn-"">W x H x D: 10 mm x 6 mm x 11 mm</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
31,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹1,529","₹2,249","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">W x H x D: 56 mm x 80 mm x 35 mm (2 in x 3 in x 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
32,Kitchen Cabinet,KRONIC Pack of 5 Plastic Kitchen Bathroom Storage Corne...,₹365,₹799,"[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">Number of Drawers: 5</li>, <li class=""_21Ahn-"">W x H x D: 10 mm x 6.7 mm x 22 mm</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
33,Kitchen Cabinet,Patelraj Wall Mounted Kitchen Stand SS Metal Kitchen Ca...,"₹1,234","₹2,999","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">W x H x D: 550 mm x 550 mm x 320 mm (1 ft 9 in x 1 ft 9 in x 1 ft)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
34,Kitchen Cabinet,Xtenshion Crafts Engineered Wood Kitchen Cabinet,₹782,"₹1,599","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 660 mm x 660 mm x 125 mm (2 ft 1 in x 2 ft 1 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
35,Kitchen Cabinet,DEMIWALL Storage Sideboard/Cabinet for LivingRoom/Hotel...,"₹15,799","₹22,571","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">W x H x D: 1447.8 mm x 762 mm x 431.8 mm (4 ft 9 in x 2 ft 6 in x 1 ft 5 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
36,Kitchen Cabinet,CuteKitchen Ck_KC_29 Harini Crockery cabinet Engineered...,"₹4,158","₹11,800","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture, Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">W x H x D: 600 mm x 600 mm x 200 mm (1 ft 11 in x 1 ft 11 in x 7 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
37,Kitchen Cabinet,Patelraj Wall Mounted Kitchen Stand 24*24 Metal Kitchen...,"₹1,376","₹2,999","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 3</li>, <li class=""_21Ahn-"">W x H x D: 60.96 mm x 60.96 mm x 25.4 mm (2 in x 2 in x 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
38,Kitchen Cabinet,SLIMSHINE Metal Kitchen Cabinet,"₹2,253","₹3,299","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">W x H x D: 750 mm x 250 mm x 120 mm (2 ft 5 in x 9 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
39,Kitchen Cabinet,kraft bazaar Solid Wood Kitchen Cabinet,"₹19,999","₹39,999","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">Number of Drawers: 4</li>, <li class=""_21Ahn-"">W x H x D: 1500 mm x 900 mm x 400 mm (4 ft 11 in x 2 ft 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
40,Kitchen Cabinet,Crystal Furnitech Claus Engineered Wood Kitchen Cabinet,"₹2,420","₹3,000","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 69.8 cm x 36.5 cm x 15.7 cm (2 ft 3 in x 1 ft 2 in x 6 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
41,Kitchen Cabinet,Crystal Furnitech Eadric Engineered Wood Kitchen Cabine...,"₹11,390","₹14,846","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 7</li>, <li class=""_21Ahn-"">W x H x D: 1200 mm x 1380 mm x 400 mm (3 ft 11 in x 4 ft 6 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
42,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹729,₹799,"[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 42 cm x 80 cm x 22 cm (1 ft 4 in x 2 ft 7 in x 8 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
43,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹569,"₹1,089","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">W x H x D: 57 cm x 65 cm x 30 cm (1 ft 10 in x 2 ft 1 in x 11 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
44,Kitchen Cabinet,Xtenshion Crafts Engineered Wood Kitchen Cabinet,₹806,"₹1,530","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 660 mm x 660 mm x 125 mm (2 ft 1 in x 2 ft 1 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
45,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹551,"₹1,998","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">Number of Drawers: 4</li>, <li class=""_21Ahn-"">W x H x D: 320 mm x 830 mm x 120 mm (1 ft x 2 ft 8 in x 4 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
46,Kitchen Cabinet,JVS Disha-Steel Plate Rack (DISHA 157) Metal Kitchen Ca...,₹259,"₹1,125","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 2</li>, <li class=""_21Ahn-"">W x H x D: 29 mm x 25 mm x 29 mm (1 in x 1 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
47,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹2,159","₹3,699","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture, Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">W x H x D: 570 mm x 1570 mm x 350 mm (1 ft 10 in x 5 ft 1 in x 1 ft 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
48,Kitchen Cabinet,Flipkart Perfect Homes Engineered Wood Kitchen Cabinet,"₹10,990","₹17,999","[<li class=""_21Ahn-"">Suitable For: Storage, Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 12</li>, <li class=""_21Ahn-"">Number of Drawers: 1</li>, <li class=""_21Ahn-"">W x H x D: 800.1 mm x 2005.8 mm x 389.8 mm (2 ft 7 in x 6 ft 6 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
49,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹609,"₹1,599","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">W x H x D: 39.87 cm x 106.42 cm x 21.84 cm (1 ft 3 in x 3 ft 5 in x 8 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
50,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹628,"₹2,199","[<li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 5</li>, <li class=""_21Ahn-"">Number of Drawers: 5</li>, <li class=""_21Ahn-"">W x H x D: 320 mm x 1320 mm x 540 mm (1 ft x 4 ft 3 in x 1 ft 9 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
51,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹1,799","₹2,599","[<li class=""_21Ahn-"">Suitable For: Dining &amp; Kitchen Furniture, Storage</li>, <li class=""_21Ahn-"">Number of Shelves: 4</li>, <li class=""_21Ahn-"">W x H x D: 56 mm x 120 mm x 35 mm (2 in x 4 in x 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
