,furniture_type,name,discounted_price,original_price,product_details
0,Chair,Jordyblue Marvin Fabric Manual Recliner,"₹15,959","₹40,000","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 88.9 cm x 101.6 cm x 77.47 cm (2 ft 10 in x 3 ft 4 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
1,Chair,Jordyblue Marvin Fabric Manual Recliner,"₹15,959","₹40,000","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 88.9 cm x 101.6 cm x 77.47 cm (2 ft 10 in x 3 ft 4 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
2,Chair,Jordyblue Jamie Fabric Manual Recliner,"₹14,759","₹36,999","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 86.36 cm x 101.6 cm x 91.44 cm (2 ft 10 in x 3 ft 4 in x 3 ft)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
3,Chair,Home Centre Fabric Manual Recliner,"₹86,499","₹1,72,998","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">1 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 104 cm x 95 cm x 229 cm (3 ft 4 in x 3 ft 1 in x 7 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
4,Chair,DUROFLEX Fabric Manual Recliner,"₹16,959","₹30,834","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam, Polyfill</li>, <li class=""_21Ahn-"">W x H x D: 89 cm x 94 cm x 97 cm (2 ft 11 in x 3 ft 1 in x 3 ft 2 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
5,Chair,Jordyblue Louis Fabric Manual Recliner,"₹13,694","₹29,999","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">1 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 73.66 cm x 93.98 cm x 81.28 inch (2 ft 4 in x 3 ft 1 in x 6 ft 9 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
6,Chair,Sleepyhead Fabric Manual Recliner,"₹13,948","₹19,999","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 79 cm x 102 cm x 76 cm (2 ft 7 in x 3 ft 4 in x 2 ft 5 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
7,Chair,Home Centre Silas Leatherette Manual Recliner,"₹54,999","₹78,570","[<li class=""_21Ahn-"">Material: Leatherette</li>, <li class=""_21Ahn-"">0 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 83 cm x 108 cm x 82 cm (2 ft 8 in x 3 ft 6 in x 2 ft 8 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
8,Chair,Sleepyhead Fabric Manual Recliner,"₹13,948","₹19,999","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 79 cm x 102 cm x 76 cm (2 ft 7 in x 3 ft 4 in x 2 ft 5 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
9,Chair,Jordyblue Marvin Fabric Manual Recliner,"₹15,959","₹40,000","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 88.9 cm x 101.6 cm x 77.47 cm (2 ft 10 in x 3 ft 4 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
10,Chair,Flipkart Perfect Homes Fabric Manual Recliner,"₹4,399","₹7,999","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">5 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Polyfill</li>, <li class=""_21Ahn-"">W x H x D: 46 cm x 104 cm x 74 cm (1 ft 6 in x 3 ft 4 in x 2 ft 5 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
11,Chair,Godrej Interio Scout Pro Leatherette Manual Recliner,"₹66,223","₹73,582","[<li class=""_21Ahn-"">Material: Leatherette</li>, <li class=""_21Ahn-"">2 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 179 cm x 107 cm x 86 cm (5 ft 10 in x 3 ft 6 in x 2 ft 9 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
12,Chair,furlay Fabric Manual Recliner,"₹4,999","₹6,499","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">6 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Polyfill</li>, <li class=""_21Ahn-"">W x H x D: 104 cm x 74 cm x 61 cm (3 ft 4 in x 2 ft 5 in x 2 ft)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
13,Chair,The Couch Cell Leatherette Manual Recliner,"₹10,934","₹18,000","[<li class=""_21Ahn-"">Material: Leatherette</li>, <li class=""_21Ahn-"">2 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 88.9 cm x 86.36 cm x 88.9 cm (2 ft 10 in x 2 ft 10 in x 2 ft 10 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
14,Chair,Jordyblue Cypress Compact Fabric Manual Recliner,"₹12,959","₹24,999","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 78.74 cm x 105.41 cm x 78.74 inch (2 ft 6 in x 3 ft 5 in x 6 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
15,Chair,Home Centre Fabric Manual Recliner,"₹1,13,499","₹1,74,614","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">1 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 105 cm x 230 cm x 104 cm (3 ft 5 in x 7 ft 6 in x 3 ft 4 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
16,Chair,@Home by nilkamal Matt Fabric Manual Recliner,"₹14,449","₹42,900","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 83 cm x 60 cm x 90 cm (2 ft 8 in x 1 ft 11 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
17,Chair,Jordyblue Louis Leatherette Manual Recliner,"₹13,279","₹29,000","[<li class=""_21Ahn-"">Material: Leatherette</li>, <li class=""_21Ahn-"">1 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 81.28 cm x 93.98 cm x 81.28 inch (2 ft 7 in x 3 ft 1 in x 6 ft 9 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
18,Chair,Jordyblue Marvin Fabric Manual Recliner,"₹15,959","₹40,000","[<li class=""_21Ahn-"">Material: Fabric</li>, <li class=""_21Ahn-"">3 Reclining Positions</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 88.9 cm x 101.6 cm x 77.47 cm (2 ft 10 in x 3 ft 4 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
