,furniture_type,name,discounted_price,original_price,product_details
0,Shoerack,"FLIPZON 12 Pair Metal, Plastic Shoe Stand",₹284,₹999,"[<li class=""_21Ahn-"">Material Subtype: PP</li>, <li class=""_21Ahn-"">Width x Height: 6.5 Inches x 22.4 Inches</li>, <li class=""_21Ahn-"">Type: Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 12</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
1,Shoerack,dbeautify Grey1 Metal Shoe Stand,₹483,"₹1,599","[<li class=""_21Ahn-"">Material Subtype: PP</li>, <li class=""_21Ahn-"">Width x Height: 58 cm x 75 cm (1 ft 10 in x 2 ft 5 in)</li>, <li class=""_21Ahn-"">Type: Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 15</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
2,Shoerack,dbeautify Metal Shoe Stand,₹466,"₹1,499","[<li class=""_21Ahn-"">Material Subtype: Carbon Steel</li>, <li class=""_21Ahn-"">Width x Height: 72 cm x 58 cm (2 ft 4 in x 1 ft 10 in)</li>, <li class=""_21Ahn-"">Type: Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 4</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
3,Shoerack,Nilkamal Churchill Engineered Wood Shoe Rack,"₹5,310","₹8,500","[<li class=""_21Ahn-"">Material Subtype: Particle Board</li>, <li class=""_21Ahn-"">Width x Height: 79 cm x 51 cm (2 ft 7 in x 1 ft 8 in)</li>, <li class=""_21Ahn-"">Type: Shoe Rack</li>, <li class=""_21Ahn-"">Capacity: 12</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
4,Shoerack,BAE Storage Saving Rack Organizer Plastic Shoe Stand,₹339,₹990,"[<li class=""_21Ahn-"">Material Subtype: PP</li>, <li class=""_21Ahn-"">Width x Height: 52 cm x 30 cm (1 ft 8 in x 11 in)</li>, <li class=""_21Ahn-"">Type: Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 9</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
5,Shoerack,KOnlineShop Plastic Collapsible Shoe Stand,₹602,"₹1,999","[<li class=""_21Ahn-"">Material Subtype: Carbon Steel</li>, <li class=""_21Ahn-"">Width x Height: 580 cm x 1090 cm (19 ft x 35 ft 9 in)</li>, <li class=""_21Ahn-"">Type: Collapsible Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 18</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
6,Shoerack,dbeautify Metal Shoe Stand,₹636,"₹2,199","[<li class=""_21Ahn-"">Material Subtype: Carbon Steel</li>, <li class=""_21Ahn-"">Width x Height: 72 cm x 132 cm (2 ft 4 in x 4 ft 3 in)</li>, <li class=""_21Ahn-"">Type: Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 6</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
7,Shoerack,Nilkamal Alpine Engineered Wood Shoe Rack,"₹5,670","₹8,000","[<li class=""_21Ahn-"">Material Subtype: Particle Board</li>, <li class=""_21Ahn-"">Width x Height: 60 cm x 91 cm (1 ft 11 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Type: Shoe Rack</li>, <li class=""_21Ahn-"">Capacity: 8</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
8,Shoerack,Palkolink Multipurpose Adjustable 4 Shelves Plastic Col...,₹485,"₹1,899","[<li class=""_21Ahn-"">Material Subtype: Plywood</li>, <li class=""_21Ahn-"">Width x Height: 66 cm x 88 cm (2 ft 1 in x 2 ft 10 in)</li>, <li class=""_21Ahn-"">Type: Collapsible Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 20</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
9,Shoerack,KOnlineShop footwear stand with door & shoe stand Plast...,₹492,"₹1,999","[<li class=""_21Ahn-"">Material Subtype: NA</li>, <li class=""_21Ahn-"">Width x Height: 60 cm x 78 cm (1 ft 11 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Type: Shoe Stand</li>, <li class=""_21Ahn-"">Capacity: 12</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
