,furniture_type,name,discounted_price,original_price,product_details
0,Showcase,"King Decore love self ,wall art wall decor i lave you s...",₹359,"₹1,590","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
1,Showcase,classiconline Wall Mount Corner 5 Tier Engineered Wood ...,₹712,"₹2,599","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
2,Showcase,Meher MULTIPURPOSE STORAGE CASE Plastic Display Unit,₹180,₹750,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
3,Showcase,Flipkart Perfect Homes Studio KR-02-Beige Engineered Wo...,₹713,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Easy Cleaning</li>, <li class=""_21Ahn-"">Huge Storage Space</li>, <li class=""_21Ahn-"">Good Looking</li>, <li class=""_21Ahn-"">Heavy and Strong</li>]"
4,Showcase,"Artesia Wall Mount Set of 3 Iron Wall Shelves Wooden, I...",₹879,"₹3,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
5,Showcase,Custom Decor NEW Edison Solidwood House Corner Wall Rac...,"₹3,499","₹12,000","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
6,Showcase,Sublime Arts Tv Entertainment Set top Box Stand Ideal f...,₹544,"₹1,234","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
7,Showcase,Flipkart Perfect Homes Studio KR-02-White Engineered Wo...,₹713,"₹1,499","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Easy Cleaning</li>, <li class=""_21Ahn-"">Huge Storage Space</li>, <li class=""_21Ahn-"">Good Looking</li>, <li class=""_21Ahn-"">Heavy and Strong</li>]"
8,Showcase,King Decore Engineered Wood Display Unit,₹359,"₹1,590","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
9,Showcase,woodinto Wooden Wall Shelf for Decor Home and Office En...,"₹1,299","₹1,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
10,Showcase,Martemporium New Plus Wooden Wall Shelf for Decor Your ...,₹711,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">New Plus wall shelf</li>]"
11,Showcase,Flipkart Perfect Homes Studio Engineered Wood Display U...,₹713,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
12,Showcase,Manu Creations Hardwood Aai Wall Mounted Shelf Wenge Ra...,₹390,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
13,Showcase,"ABHA A4 metal Brochure,catalogue rack, Display Stand Me...","₹1,799","₹3,500","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Brochure</li>]"
14,Showcase,Decorhand Wall Mount Intersecting Hexagon Wall Shelves ...,"₹1,839","₹3,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
15,Showcase,Star Handicrafts Engineered Wood Display Unit,₹976,"₹2,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
16,Showcase,"Amaze Shoppee Wall Mounted Stand for Set Top Box, Wall ...",₹788,"₹3,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
17,Showcase,classiconline Set of 4 Engineered Wood Display Unit,₹707,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
18,Showcase,Flipkart Perfect Homes Studio Multipurpose Wooden Kitch...,"₹1,165","₹3,050","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
19,Showcase,Star Handicrafts Engineered Wood Display Unit,"₹1,061","₹2,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
20,Showcase,King Decore love selfdisplay unit wall self wall art wa...,₹399,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
21,Showcase,Das Engineered Wood Display Unit,₹633,"₹2,199","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
22,Showcase,King Decore Engineered Wood Display Unit,₹249,₹799,"[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
23,Showcase,Hometown Engineered Wood Display Unit,"₹3,311","₹9,200","[<li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
24,Showcase,Craft Creations Engineered Wood Display Unit,"₹4,500","₹4,500","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
25,Showcase,classiconline Engineered Wood Display Unit,₹398,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
26,Showcase,Craft Creations Engineered Wood Display Unit,"₹2,185","₹2,600","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
27,Showcase,Mrmart Engineered Wood Display Unit,₹899,"₹1,499","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
