,furniture_type,name,discounted_price,original_price,product_details
0,Sofa,limraz furniture Fabric 3 Seater  Sofa,"₹7,999","₹19,000","[<li class=""_21Ahn-"">Upholestry: Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 187.96 cm x 86.36 cm x 66.4 cm (6 ft 2 in x 2 ft 10 in x 2 ft 2 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
1,Sofa,Bharat Lifestyle Tulip Fabric 3 Seater  Sofa,"₹7,999","₹19,999","[<li class=""_21Ahn-"">Upholestry: Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 177.8 cm x 76.2 cm x 68.58 cm (5 ft 9 in x 2 ft 6 in x 2 ft 3 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
2,Sofa,DecorSecrets DREAM Airsofa PVC 3 Seater Inflatable Sofa,"₹3,650","₹4,500","[<li class=""_21Ahn-"">Inflatable Sofa</li>, <li class=""_21Ahn-"">Primary Material: Plastic</li>, <li class=""_21Ahn-"">W x H x D: 153 cm x 82 cm x 9.3 cm (5 ft x 2 ft 8 in x 3 in)</li>, <li class=""_21Ahn-"">With Armrest</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
3,Sofa,Allie Wood Sheesham Solid Wood Fabric 3 Seater  Sofa,"₹13,300","₹25,999","[<li class=""_21Ahn-"">Upholestry: Cotton</li>, <li class=""_21Ahn-"">Filling Material: Cotton</li>, <li class=""_21Ahn-"">W x H x D: 182.88 cm x 83.82 cm x 76.2 cm (6 ft x 2 ft 9 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
4,Sofa,Bharat Lifestyle Fabric 3 + 1 + 1 Sofa Set,"₹17,999","₹79,999","[<li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
5,Sofa,Bharat Lifestyle Tulip Fabric 3 Seater  Sofa,"₹7,999","₹19,999","[<li class=""_21Ahn-"">Upholestry: Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 155.4 cm x 79.2 cm x 70.104 cm (5 ft 1 in x 2 ft 7 in x 2 ft 3 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
6,Sofa,Bharat Lifestyle Lexus Fabric 3 Seater  Sofa,"₹7,999","₹49,999","[<li class=""_21Ahn-"">Upholestry: Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 155.4 cm x 76.2 cm x 54.8 cm (5 ft 1 in x 2 ft 6 in x 1 ft 9 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
7,Sofa,Allie Wood Sheesham Solid Wood Fabric 4 Seater  Sofa,"₹14,882","₹28,599","[<li class=""_21Ahn-"">Upholestry: Cotton</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 180.34 cm x 82.804 cm x 73.66 cm (5 ft 11 in x 2 ft 8 in x 2 ft 4 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
8,Sofa,"Seventh Heaven Milan 3 Seater Sofa, Chenille Molfino Fa...","₹11,560","₹17,000","[<li class=""_21Ahn-"">Upholestry: Chenille</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 185.5 cm x 80 cm x 80 cm (6 ft 1 in x 2 ft 7 in x 2 ft 7 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
9,Sofa,Bharat Lifestyle Desy Fabric 3 Seater  Sofa,"₹8,999","₹26,999","[<li class=""_21Ahn-"">Upholestry: Chenille</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 179 mm x 76 mm x 69 mm (7 in x 2 in x 2 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
10,Sofa,Bharat Lifestyle Lexus Fabric 3 Seater  Sofa,"₹7,999","₹19,999","[<li class=""_21Ahn-"">Upholestry: Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 180.5 cm x 70.5 cm x 71.5 cm (5 ft 11 in x 2 ft 3 in x 2 ft 4 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
11,Sofa,Allie Wood Sheesham Solid Wood Fabric 1 Seater  Sofa,"₹6,799","₹16,999","[<li class=""_21Ahn-"">Upholestry: Cotton</li>, <li class=""_21Ahn-"">Filling Material: Cotton</li>, <li class=""_21Ahn-"">W x H x D: 71.12 cm x 83.82 cm x 71.12 cm (2 ft 4 in x 2 ft 9 in x 2 ft 4 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
12,Sofa,limraz furniture Fabric 3 Seater  Sofa,"₹8,299","₹19,000","[<li class=""_21Ahn-"">Upholestry: Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 187.96 cm x 86.36 cm x 66.4 cm (6 ft 2 in x 2 ft 10 in x 2 ft 2 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
13,Sofa,NHR Flocked Air Bed(Single) Velvet 1 Seater Inflatable ...,"₹1,979","₹3,199","[<li class=""_21Ahn-"">Air Bed</li>, <li class=""_21Ahn-"">Primary Material: Plastic</li>, <li class=""_21Ahn-"">W x H x D: 137 cm x 22 cm x 191 cm (4 ft 5 in x 8 in x 6 ft 3 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
