,furniture_type,name,discounted_price,original_price,product_details
0,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x36x14 inch Jute...,"₹8,699","₹16,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 4 Seater</li>, <li class=""_21Ahn-"">W x H x D: 91.44 cm x 35.56 cm x 198.12 cm (3 ft x 1 ft 2 in x 6 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
1,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x36x14 inch Jute...,"₹8,699","₹16,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 4 Seater</li>, <li class=""_21Ahn-"">W x H x D: 91.44 cm x 35.56 cm x 198.12 cm (3 ft x 1 ft 2 in x 6 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
2,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x36x14 inch Jute...,"₹8,699","₹16,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 4 Seater</li>, <li class=""_21Ahn-"">W x H x D: 91.44 cm x 35.56 cm x 198.12 cm (3 ft x 1 ft 2 in x 6 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
3,Sofa-bed,Sofame Rio Double Sofa Sectional Bed,"₹27,192","₹44,990","[<li class=""_21Ahn-"">Mattress Included: No</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 217.2 cm x 88.9 cm x 129.5 cm (7 ft 1 in x 2 ft 10 in x 4 ft 2 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
4,Sofa-bed,Seventh Heaven 5×6 Jute Fabric 3 Seater Sofa cum Bed wi...,"₹7,599","₹13,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 152.41 cm x 20.33 cm x 182.9 cm (5 ft x 8 in x 6 ft)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
5,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x36x14 inch Jute...,"₹8,699","₹16,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 4 Seater</li>, <li class=""_21Ahn-"">W x H x D: 91.44 cm x 35.56 cm x 198.12 cm (3 ft x 1 ft 2 in x 6 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
6,Sofa-bed,Solis Primus-comfort for all 5X6 size Sofa cum Bed for ...,"₹6,999","₹18,999","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: No</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 152.4 cm x 71.12 cm x 76.2 cm (5 ft x 2 ft 4 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
7,Sofa-bed,Sofame Rio Double Sofa Sectional Bed,"₹27,192","₹44,990","[<li class=""_21Ahn-"">Mattress Included: No</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 217.2 cm x 88.9 cm x 129.5 cm (7 ft 1 in x 2 ft 10 in x 4 ft 2 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
8,Sofa-bed,Solis Primus-comfort for all 5X6 size Sofa cum Bed for ...,"₹6,999","₹15,999","[<li class=""_21Ahn-"">Shape: Rectangular.</li>, <li class=""_21Ahn-"">Mattress Included: No</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 152.4 cm x 71.12 cm x 55.88 cm (5 ft x 2 ft 4 in x 1 ft 10 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
9,Sofa-bed,Fresh Up Prisma One Seater Folding Sofa Bed for Living ...,"₹3,643","₹7,590","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 1 Seater</li>, <li class=""_21Ahn-"">W x H x D: 76.2 cm x 66.04 cm x 76.2 cm (2 ft 6 in x 2 ft 2 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
10,Sofa-bed,Seventh Heaven 5×6 Jute Fabric 3 Seater Sofa cum Bed wi...,"₹7,599","₹13,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 152.41 cm x 20.33 cm x 182.9 cm (5 ft x 8 in x 6 ft)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
11,Sofa-bed,Sofame Rio Double Sofa Sectional Bed,"₹27,192","₹44,990","[<li class=""_21Ahn-"">Mattress Included: No</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 217.2 cm x 88.9 cm x 129.5 cm (7 ft 1 in x 2 ft 10 in x 4 ft 2 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
12,Sofa-bed,Seventh Heaven 6×6 Jute Fabric Sofa cum Bed with 3 Cush...,"₹8,999","₹15,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 4 Seater</li>, <li class=""_21Ahn-"">W x H x D: 182.88 cm x 20.32 cm x 182.88 cm (6 ft x 8 in x 6 ft)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
13,Sofa-bed,Solis Primus-comfort for all 5X6 size Sofa cum Bed for ...,"₹6,999","₹19,999","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: No</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 177.8 cm x 71.12 cm x 55.88 cm (5 ft 9 in x 2 ft 4 in x 1 ft 10 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
14,Sofa-bed,Fresh Up 4 Seater Sofa cum Bed Jute Fabric 78x36x14 Inc...,"₹7,938","₹16,538","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 4 Seater</li>, <li class=""_21Ahn-"">W x H x D: 198.12 cm x 35.56 cm x 55.88 cm (6 ft 6 in x 1 ft 2 in x 1 ft 10 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
15,Sofa-bed,LADRECHA FURNITURE Wooden 3 Seater Sofa Cum Bed for Hom...,"₹32,759","₹57,472","[<li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 152 cm x 74 cm x 183 cm (4 ft 11 in x 2 ft 5 in x 6 ft)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
16,Sofa-bed,Fresh Up Prisma One Seater Folding Sofa Bed for Living ...,"₹3,643","₹7,590","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 1 Seater</li>, <li class=""_21Ahn-"">W x H x D: 76.2 cm x 66.04 cm x 76.2 cm (2 ft 6 in x 2 ft 2 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
17,Sofa-bed,Seventh Heaven 4×6 Jute Fabric 2 Seater Sofa cum Bed Do...,"₹6,399","₹10,000","[<li class=""_21Ahn-"">Shape: Rectangular</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 2 Seater</li>, <li class=""_21Ahn-"">W x H x D: 121.92 cm x 20.32 cm x 182.88 cm (4 ft x 8 in x 6 ft)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
18,Sofa-bed,Floresta Wud 4x6 ft (without Cushion) Double Sofa Bed,"₹4,769","₹20,000","[<li class=""_21Ahn-"">Shape: Rectangle</li>, <li class=""_21Ahn-"">Mattress Included: No</li>, <li class=""_21Ahn-"">Seat Capacity: 2 Seater</li>, <li class=""_21Ahn-"">W x H x D: 121 cm x 53.3 cm x 76.2 cm (3 ft 11 in x 1 ft 8 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
19,Sofa-bed,LKBS ART 4x6 ft (without Cushion) Double Metal Sofa Bed,"₹4,725","₹11,200","[<li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 2 Seater</li>, <li class=""_21Ahn-"">W x H x D: 121 cm x 60 cm x 76 cm (3 ft 11 in x 1 ft 11 in x 2 ft 5 in)</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
20,Sofa-bed,FURINNO Durable bed Double Solid Wood Sofa Bed,"₹15,839","₹41,499","[<li class=""_21Ahn-"">Shape: Straight</li>, <li class=""_21Ahn-"">Mattress Included: Yes</li>, <li class=""_21Ahn-"">Seat Capacity: 3 Seater</li>, <li class=""_21Ahn-"">W x H x D: 198.12 cm x 88.9 cm x 76.2 cm (6 ft 6 in x 2 ft 10 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
