,furniture_type,name,discounted_price,original_price,product_details
0,Sofa,Bharat Lifestyle Fabric 3 + 1 + 1 Sofa Set,"₹17,999","₹79,999","[<li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
1,Sofa,Flipkart Perfect Homes Leatherette 3 + 1 + 1 Sofa Set,"₹18,399","₹45,999","[<li class=""_21Ahn-"">Imitation Leather</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
2,Sofa,Bharat Lifestyle Alina Fabric 3 + 2 Sofa Set,"₹21,599","₹79,999","[<li class=""_21Ahn-"">Velvet</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
3,Sofa,Allie Wood Fabric 3 + 1 + 1 Sofa Set,"₹31,278","₹39,999","[<li class=""_21Ahn-"">Velvet</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
4,Sofa,Flipkart Perfect Homes Crete Leatherette and Fabric 3 +...,"₹18,399","₹45,900","[<li class=""_21Ahn-"">Polycotton</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
5,Sofa,Bharat Lifestyle Tulip Fabric 3 + 1 + 1 Sofa Set,"₹17,999","₹79,999","[<li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
6,Sofa,Flipkart Perfect Homes BELLA Leatherette 3 + 1 + 1 Sofa...,"₹18,999","₹50,999","[<li class=""_21Ahn-"">Imitation Leather</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
7,Sofa,Allie Wood Sheesham Wood Sofa Set for Living Room (Brow...,"₹24,067","₹62,599","[<li class=""_21Ahn-"">Cotton</li>, <li class=""_21Ahn-"">Filling Material: Cotton</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
8,Sofa,WESTIDO Emporio Fabric 3 + 1 + 1 Sofa Set,"₹15,839","₹21,999","[<li class=""_21Ahn-"">Polycotton</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
9,Sofa,Bharat Lifestyle Lexus Amron Fabric 3 + 1 + 1 Sofa Set,"₹19,499","₹49,999","[<li class=""_21Ahn-"">Polycotton</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
10,Sofa,Flipkart Perfect Homes Emma Fabric 3 + 1 + 1 Sofa Set,"₹17,999","₹49,999","[<li class=""_21Ahn-"">Chenille</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
11,Sofa,Allie Wood Sheesham Wood Premium Quality Sofa Set with ...,"₹24,067","₹49,599","[<li class=""_21Ahn-"">Filling Material: Cotton</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
12,Sofa,Bharat Lifestyle Lexus Fabric 3 + 1 + 1 Sofa Set,"₹18,999","₹49,999","[<li class=""_21Ahn-"">Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
13,Sofa,Bharat Lifestyle Alina Fabric 3 + 2 Sofa Set,"₹21,599","₹79,999","[<li class=""_21Ahn-"">Velvet</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
14,Sofa,Bharat Lifestyle Alina Fabric 3 + 2 Sofa Set,"₹22,399","₹79,999","[<li class=""_21Ahn-"">Velvet</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
15,Sofa,ELTOP LILY Printed Cushion Fabric 3 + 1 + 1 Sofa Set,"₹18,999","₹40,999","[<li class=""_21Ahn-"">Knitted</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
16,Sofa,Bharat Lifestyle Tulip311 Fabric 3 + 1 + 1 Sofa Set,"₹17,999","₹79,999","[<li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
