,furniture_type,name,discounted_price,original_price,product_details
0,TV unit,Flipkart Perfect Homes Phonox Engineered Wood TV Entert...,"₹4,990","₹9,999","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 116 cm x 60 cm x 39 cm (3 ft 9 in x 1 ft 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 43 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 6, Number of Closed Shelves: 4</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
1,TV unit,Flipkart Perfect Homes Webster TV Entertainment Unit,"₹12,790","₹19,599","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 200 cm x 170 cm x 39 cm (6 ft 6 in x 5 ft 6 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 55 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 5, Number of Closed Shelves: 10</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
2,TV unit,Flipkart Perfect Homes Webster Engineered Wood TV Enter...,"₹12,890","₹20,499","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 200 cm x 170 cm x 37.08 cm (6 ft 6 in x 5 ft 6 in x 1 ft 2 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 55 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 15, Number of Closed Shelves: 10</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
3,TV unit,Nilkamal Beaumont Engineered Wood TV Entertainment Unit,"₹6,715","₹10,800","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 124 cm x 121 cm x 40 cm (4 ft x 3 ft 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 32 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 7, Number of Closed Shelves: 2</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
4,TV unit,ANIKAA WNT/WT Engineered Wood TV Entertainment Unit,"₹3,863","₹10,999","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 130 cm x 112 cm x 25 cm (4 ft 3 in x 3 ft 8 in x 9 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 43 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 9, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
5,TV unit,Flipkart Perfect Homes Sirena Engineered Wood TV Entert...,"₹5,790","₹9,999","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 150 cm x 131.5 cm x 39.6 cm (4 ft 11 in x 4 ft 3 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 39 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 6, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
6,TV unit,TADesign Robust Engineered Wood TV Entertainment Unit,"₹6,567","₹10,990","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 180 cm x 47 cm x 40 cm (5 ft 10 in x 1 ft 6 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 70 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 2</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
7,TV unit,Zuari by Forte Cyprus Engineered Wood TV Entertainment ...,"₹9,278","₹15,998","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 1515 mm x 600 mm x 406 mm (4 ft 11 in x 1 ft 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 55 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 1, Number of Closed Shelves: 1</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
8,TV unit,SAVYA HOME Engineered Wood TV Entertainment Unit,₹945,"₹1,699","[<li class=""_21Ahn-"">Material: MDF</li>, <li class=""_21Ahn-"">W x H x D: 50 cm x 20 cm x 21 cm (1 ft 7 in x 7 in x 8 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 50 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 1, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
9,TV unit,limraz furniture Engineered Wood TV Entertainment Unit,"₹1,139","₹2,999","[<li class=""_21Ahn-"">Material: MDF</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 70 cm x 40 cm (1 ft 11 in x 2 ft 3 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 32 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
